season,season_id,week,week_z,event_id,slot,n_active,contestant_key,celeb_key,celeb_id,ballroom_partner,pro_id,industry_group,industry_id,age,age_z,y_j_score_z,share_mean,share_sd,share_ci2_5,share_ci97_5,share_mean_clipped,y_f_logit_share_mean,y_f_logit_share_se,logV_centered_mean,logV_centered_sd,logV_centered_ci2_5,logV_centered_ci97_5,eliminated_flag,contestant_idx,score_z,logV_mean,logV_sd,logV_ci2_5,logV_ci97_5,season_from_key,celebrity_name_from_key,celebrity_industry,celebrity_age_during_season,celebrity_name
1,0,1,-1.2900651749527905,1-1,0,6,S1:Evander Holyfield,S1:Evander Holyfield,120,Edyta Sliwinska,21,Athlete,1,42.0,0.44313149862595846,-0.8104892373085022,0.1169493694207992,0.0479118534815962,0.0497583217056135,0.2322989582751728,0.1169493694207992,-2.0216414370888045,0.46393750491344404,0.0137386562857302,0.3434506788284765,-0.6110927187871428,0.8269917673297887,0,120,-0.8104892373085022,-1.4165433155383709,1.4525988038253448,-4.321811467341313,1.598020011096611,1,Evander Holyfield,Athlete,42.0,Evander Holyfield
1,0,1,-1.2900651749527905,1-1,1,6,S1:Joey McIntyre,S1:Joey McIntyre,121,Ashly DelGrosso,8,Singer/Rapper,5,32.0,-0.3325309018293012,-0.3288270533084869,0.2664522055521149,0.0754661349629079,0.1295657565354337,0.4512614752995252,0.2664522055521149,-1.0126978686439356,0.386104063968212,0.8637546443423189,0.3259381049370986,0.224603990720535,1.6072904780934585,0,121,-0.3288270533084869,-0.5665273274817821,1.4676692001704152,-3.4688189460234153,2.353782218497785,1,Joey McIntyre,Singer/Rapper,32.0,Joey McIntyre
1,0,1,-1.2900651749527905,1-1,2,6,S1:John O'Hurley,S1:John O'Hurley,122,Charlotte Jorgensen,12,Actor/Actress,0,50.0,1.063661418990166,-0.3288270533084869,0.2752955462417698,0.0808086337743301,0.142350713531952,0.4855420392070219,0.2752955462417698,-0.9679186875724086,0.4050397520459166,0.8966520013196195,0.3389675489395116,0.2977380035244125,1.723010658383687,0,122,-0.3288270533084869,-0.5336299705044812,1.460057524492422,-3.4144099454301853,2.414092531808232,1,John O'Hurley,Actor/Actress,50.0,John O'Hurley
1,0,1,-1.2900651749527905,1-1,3,6,S1:Kelly Monaco,S1:Kelly Monaco,123,Alec Mazo,2,Actor/Actress,0,29.0,-0.565229621965879,-2.0146446228027344,0.0122174988751565,0.006385191767742,0.0038462791357593,0.0263600865923115,0.0122174988751565,-4.392593274857531,0.5290909207982829,-2.281409121160896,0.3698119980435758,-3.08729982425902,-1.525825635620078,0,123,-2.0146446228027344,-3.7116910929849976,1.4935848673330976,-6.6396647318206075,-0.6286903148084014,1,Kelly Monaco,Actor/Actress,29.0,Kelly Monaco
1,0,1,-1.2900651749527905,1-1,4,6,S1:Rachel Hunter,S1:Rachel Hunter,124,Jonathan Roberts,34,Model,3,35.0,-0.09983218169272329,-0.3288270533084869,0.2338997831392796,0.0717798078265956,0.0836154237722893,0.3808537919938724,0.2338997831392796,-1.1864202461555011,0.40057780904147716,0.7137295194377306,0.3625421960210636,-0.1270730003407508,1.3667225957672158,0,124,-0.3288270533084869,-0.7165524523863702,1.4866305823564612,-3.71621237322645,2.256477142106828,1,Rachel Hunter,Model,35.0,Rachel Hunter
1,0,1,-1.2900651749527905,1-1,5,6,S1:Trista Sutter,S1:Trista Sutter,125,Louis van Amstel,43,TV Personality,7,32.0,-0.3325309018293012,-0.8104892373085022,0.0951855967708799,0.0350300201505686,0.0286649084643862,0.172940163799172,0.0951855967708799,-2.251901207435817,0.40673321988332173,-0.2064657002245034,0.3647641324014949,-1.0886704870816004,0.4231797437283903,0,125,-0.8104892373085022,-1.6367476720486045,1.4691865898177687,-4.490812534322464,1.3294186467028983,1,Trista Sutter,TV Personality,32.0,Trista Sutter
1,0,2,-0.9260994187390595,1-2,0,6,S1:Evander Holyfield,S1:Evander Holyfield,120,Edyta Sliwinska,21,Athlete,1,42.0,0.44313149862595846,-1.7738136053085327,0.0032248659474146,0.0019521953109422,0.0007543854179323,0.0074773805055973,0.0032248659474146,-5.733633819257477,0.6073155532995048,-2.730832913683512,0.3800826610914421,-3.5318722895793555,-1.9780136854381032,0,120,-1.7738136053085327,-3.251356570807011,1.508738421950826,-6.223289446502288,-0.3150595762714864,1,Evander Holyfield,Athlete,42.0,Evander Holyfield
1,0,2,-0.9260994187390595,1-2,1,6,S1:Joey McIntyre,S1:Joey McIntyre,121,Ashly DelGrosso,8,Singer/Rapper,5,32.0,-0.3325309018293012,-0.0879959762096405,0.0694749290894767,0.0291475584123685,0.0230036926533529,0.1382136610454669,0.0694749290894767,-2.594783064236295,0.45086444713400525,0.4063260682160424,0.318140426056043,-0.2531703882627522,1.1234994876178452,0,121,-0.0879959762096405,-0.1141975889074563,1.4883637606724702,-2.9223954892074464,2.768523951171151,1,Joey McIntyre,Singer/Rapper,32.0,Joey McIntyre
1,0,2,-0.9260994187390595,1-2,2,6,S1:John O'Hurley,S1:John O'Hurley,122,Charlotte Jorgensen,12,Actor/Actress,0,50.0,1.063661418990166,1.116159439086914,0.6561189648892488,0.095979076126958,0.4723282601168644,0.8750912136071074,0.6561189648892488,0.6460463520242731,0.42538850375671977,2.726366362430517,0.4094499187661564,2.0838265131229408,3.724854648289644,0,122,1.116159439086914,2.205842705307018,1.5185942959600065,-0.7325478384083154,5.1544183787219575,1,John O'Hurley,Actor/Actress,50.0,John O'Hurley
1,0,2,-0.9260994187390595,1-2,3,6,S1:Kelly Monaco,S1:Kelly Monaco,123,Alec Mazo,2,Actor/Actress,0,29.0,-0.565229621965879,-1.0513203144073486,0.0123070203134263,0.0068495087779677,0.0031319225749237,0.0283586056405066,0.0123070203134263,-4.385202043402642,0.5634878319370786,-1.3665519689083432,0.3445779783094361,-2.098687151778735,-0.6168568122047172,0,123,-1.0513203144073486,-1.8870756260318424,1.5062984598231062,-4.752347552096685,1.0088647168571292,1,Kelly Monaco,Actor/Actress,29.0,Kelly Monaco
