term,mean,sd,hdi_3,hdi_97,std_mean,std_sd,std_hdi_3,std_hdi_97
judges:beta0,-0.14454358988972857,0.04259045442190858,-0.2241752931296337,-0.06345780268724568,,,,
judges:beta_age,-0.28629141805755115,0.02460478591164696,-0.3326955999827199,-0.23945193292968048,-0.4583100018803597,0.040374971507556506,-0.5321506603721488,-0.3789820432808112
judges:beta_week,0.5262675664802539,0.012724553627382448,0.5023091737379032,0.5496000464683796,0.8423893454956817,0.023057550046496535,0.7998707530521827,0.8844695740841476
judges:beta_ind[Actor/Actress],0.18235358037164678,0.0490239795059404,0.08746328343312137,0.27051033865219465,0.2919172061126726,0.07864818505845943,0.14500697925071412,0.4405173362212628
judges:beta_ind[Athlete],0.04111166287662576,0.0542459189989153,-0.05961884567162712,0.14128903336220672,0.06583778805323807,0.08688699967728862,-0.09980897149988624,0.22236699402220841
judges:beta_ind[Comedian],-0.19554097893643096,0.1335445509979272,-0.4350815910377273,0.060292809138171144,-0.3129978987120245,0.2138093624793764,-0.6982093724891295,0.09552227262434293
judges:beta_ind[Model],-0.07972413541341729,0.11368745753881283,-0.28699954306682696,0.13067577910572584,-0.12774441100096778,0.18220191243233594,-0.4689606458299206,0.20163980046288651
judges:beta_ind[Other],-0.12093076946943984,0.08192239719919402,-0.27555778618541993,0.02867333065322142,-0.19352481527979862,0.1311065032551969,-0.4452435209972033,0.0427090620810096
judges:beta_ind[Singer/Rapper],0.1337573073148351,0.06196495293584974,0.020548934330844308,0.253104801646964,0.2141025326752534,0.09919860560055632,0.0326338708736419,0.40522698973222737
judges:beta_ind[Social Media Personality],0.1758551258871079,0.1376863042080923,-0.08756662623598407,0.4308907770856465,0.2815059474814046,0.22046550951846094,-0.14824835560078123,0.6807845470799349
judges:beta_ind[TV Personality],-0.1368817926309274,0.059033393409260206,-0.25026676712826346,-0.02840467408861229,-0.21909634932977776,0.09457051642999896,-0.40120268107513335,-0.045432112836170595
judges:industry_effect_sd,0.16611726782216266,0.03544521218708523,0.1065388293874731,0.23613216287965644,0.2659186776532006,0.05689900175275645,0.1724583197168392,0.3809348043135191
judges:industry_effect_range,0.5063890002976467,0.12841363249720936,0.2955578777604559,0.7527154475430345,0.810626545886338,0.20598734153479348,0.46339331885687657,1.198320742053852
judges:sigma_eps,0.624853271670673,0.009344312619206449,0.6073022427929741,0.6421760106500904,,,,
judges:sigma_pro,0.1356663573101109,0.03651344284962537,0.06790941965604312,0.20316016377648585,,,,
judges:sigma_season,0.026210937094151433,0.020098395276601736,6.52160778546324e-06,0.06321812953037304,,,,
judges:sigma_celeb,0.36306896861294125,0.021794984248860203,0.3243643037683519,0.4065874803701394,,,,
