event_id,season,season_id,week,contestant_key,celeb_id,pro_id,industry_id,age_z,week_z,eliminated_flag,L_logit,U_logit,mu_mean,mu_sd,y_latent_mean,y_latent_sd,share_latent_mean
1-1,1,0,1,S1:Evander Holyfield,120,21,1,0.4431314986259584,-1.2900651749527905,0,-2.949538630364417,-1.1953752334036496,-4.509243765941771,0.45243883569782006,-2.6740288713052935,0.05140061012035026,0.06452335847389656
1-1,1,0,1,S1:Joey McIntyre,121,8,5,-0.3325309018293012,-1.2900651749527905,0,-1.904803692802353,-0.19557511311276365,-2.573345362578604,0.388695203481767,-1.496044212029968,0.07886299408824461,0.18301625688964446
1-1,1,0,1,S1:John O'Hurley,122,12,0,1.063661418990166,-1.2900651749527905,0,-1.7959014326642009,-0.05784796958601523,-1.042128077922308,0.3639534484203017,-0.9689965920303331,0.13234356160278932,0.27508054787340536
1-1,1,0,1,S1:Kelly Monaco,123,2,0,-0.565229621965879,-1.2900651749527905,0,-5.556795361159327,-3.609190541909061,-2.324900888606159,0.3197043809586288,-3.915122910612623,0.04392484133692375,0.019548341151720803
1-1,1,0,1,S1:Rachel Hunter,124,34,3,-0.0998321816927232,-1.2900651749527905,0,-2.3942081216506415,-0.485925891697693,-1.6114151535902967,0.44926276434197704,-1.5098620027405887,0.18298179060863895,0.18095924523903842
1-1,1,0,1,S1:Trista Sutter,125,43,7,-0.3325309018293012,-1.2900651749527905,0,-3.52299783511019,-1.5649313850562407,-3.261651963066357,0.545915848809278,-2.8283886834354055,0.19986892515261143,0.055809244821039446
1-2,1,0,2,S1:Evander Holyfield,120,21,1,0.4431314986259584,-0.9260994187390597,0,-7.188852486080075,-4.888367271858556,-4.4365149494458755,0.4523179083860218,-5.36242745183286,0.12584399914317518,0.004667619879192894
1-2,1,0,2,S1:Joey McIntyre,121,8,5,-0.3325309018293012,-0.9260994187390597,0,-3.748828119263728,-1.8302066170268778,-2.500616546082712,0.38816416258907616,-2.668743139133255,0.15987228145626423,0.06484314110352878
1-2,1,0,2,S1:John O'Hurley,122,12,0,1.063661418990166,-0.9260994187390597,0,-0.11080017539073658,1.946744362968636,-0.9693992614264155,0.3635976914973121,0.26511650457808367,0.07072097791346554,0.5658936234003503
1-2,1,0,2,S1:Kelly Monaco,123,2,0,-0.565229621965879,-0.9260994187390597,0,-5.762971384500475,-3.534056266501236,-2.2521720721102674,0.31960192316078173,-3.8406788866881847,0.04431515598527233,0.021027367445319013
1-2,1,0,2,S1:Rachel Hunter,124,34,3,-0.0998321816927232,-0.9260994187390597,0,-2.624031495908942,-0.3972075671981392,-1.5386863370944037,0.44921776488411824,-1.52444888870268,0.22948507652815364,0.17880733191112094
1-2,1,0,2,S1:Trista Sutter,125,43,7,-0.3325309018293012,-0.9260994187390597,1,-5.280263535011934,-2.940479016016251,-3.1889231465704646,0.5457922048848342,-3.66096056439794,0.23046923361216085,0.025063479761543158
1-3,1,0,3,S1:Evander Holyfield,120,21,1,0.4431314986259584,-0.5621336625253286,1,-7.611360523717436,-5.331756709776567,-4.36378613294999,0.45230630074209716,-5.6936778894552145,0.08605987617953027,0.003355886136776632
1-3,1,0,3,S1:Joey McIntyre,121,8,5,-0.3325309018293012,-0.5621336625253286,0,-3.1611657192754365,-1.309520972926734,-2.4278877295868213,0.3877599544465801,-2.3117851040151485,0.15306397062994656,0.09015161562740438
1-3,1,0,3,S1:John O'Hurley,122,12,0,1.063661418990166,-0.5621336625253286,0,-1.927777869024748,0.08049388256579147,-0.8966704449305241,0.36337770866208685,-0.9117868355623154,0.16492594098836225,0.28663433462983084
1-3,1,0,3,S1:Kelly Monaco,123,2,0,-0.565229621965879,-0.5621336625253286,0,-3.588058339724364,-1.6414159930342476,-2.1794432556143732,0.3196541828557683,-2.4286461229964815,0.13046803706467025,0.08101420742367645
1-3,1,0,3,S1:Rachel Hunter,124,34,3,-0.0998321816927232,-0.5621336625253286,0,-0.9351920934579766,1.0263204331999858,-1.4659575205985114,0.4492828489893194,-0.48627158838179857,0.1075914089835925,0.3807722786285826
1-4,1,0,4,S1:Joey McIntyre,121,8,5,-0.3325309018293012,-0.1981679063115975,0,-4.401579485609292,-2.4886777085489276,-2.3551589130909267,0.38748297597641296,-3.037234036517824,0.11724914352450758,0.045771827460353375
1-4,1,0,4,S1:John O'Hurley,122,12,0,1.063661418990166,-0.1981679063115975,0,-3.8465004841224197,-1.9045830805648383,-0.8239416284346318,0.3632937465578385,-2.2416501459587588,0.05764604559167727,0.09607214371393873
1-4,1,0,4,S1:Kelly Monaco,123,2,0,-0.565229621965879,-0.1981679063115975,0,-0.48066893807263383,1.5957994557997124,-2.106714439118483,0.31986108420921766,-0.2154779238066951,0.03641051268737001,0.4463379891052716
1-4,1,0,4,S1:Rachel Hunter,124,34,3,-0.0998321816927232,-0.1981679063115975,1,-2.1923117294138903,0.025368508508915324,-1.39322870410262,0.4494579688353794,-1.2389341387555626,0.2218532687664968,0.22462156879842968
1-5,1,0,5,S1:Joey McIntyre,121,8,5,-0.3325309018293012,0.1657978499021333,1,-3.420970563077974,-1.4441445719680217,-2.2824300965950353,0.38733350012082574,-2.3665032675597932,0.16959831886745688,0.08576291312502236
1-5,1,0,5,S1:John O'Hurley,122,12,0,1.063661418990166,0.1657978499021333,0,0.1683485133729523,2.120694823842059,-0.7512128119387398,0.36334589947974116,0.5325216848865698,0.0669343849757998,0.630071062645568
1-5,1,0,5,S1:Kelly Monaco,123,2,0,-0.565229621965879,0.1657978499021333,0,-2.8055997538917516,-0.7244428049468279,-2.033985622622589,0.3202223274710742,-1.8939538813332062,0.1513058911626442,0.13079430735441336
1-6,1,0,6,S1:John O'Hurley,122,12,0,1.063661418990166,0.5297636061158644,0,-1.3840872739781087,0.788599301809979,-0.6784839954428479,0.3635341088462565,-0.4876634009410879,0.17695574929126567,0.3804441649526248
1-6,1,0,6,S1:Kelly Monaco,123,2,0,-0.565229621965879,0.5297636061158644,0,-0.7885993018099796,1.384087273978107,-1.9612568061266966,0.3207373911405971,-0.466332699304383,0.05017043649010505,0.38548461097417996
2-1,2,1,1,S2:Drew Lachey,251,14,5,-0.565229621965879,-1.2900651749527905,0,-1.7857571416583293,-0.014334000564189323,-1.1908687971473502,0.33639862527105757,-1.008745988699903,0.12404656200730145,0.26722533449219776
2-1,2,1,1,S2:George Hamilton,252,21,0,2.3047212597185815,-1.2900651749527905,0,-4.750964365692824,-2.9822337623690753,-3.9512548405387493,0.35530234759392293,-3.898362909186382,0.1326766922082622,0.019872166733321164
2-1,2,1,1,S2:Giselle Fernandez,253,34,4,0.5982639787170104,-1.2900651749527905,0,-2.8505670575907516,-0.9200463830408321,-3.1395120616863963,0.4772373717455358,-2.33910791105303,0.1317869625562234,0.08793543656072826
2-1,2,1,1,S2:Jerry Rice,254,6,1,0.5206977386714844,-1.2900651749527905,0,-2.915888790976005,-1.0456230797936363,-3.111602142179896,0.31554210915585357,-2.391668821705601,0.08828077666064142,0.08381020063629667
2-1,2,1,1,S2:Kenny Mayne,255,4,4,0.7533964588080623,-1.2900651749527905,1,-7.194469020381452,-4.938958939068824,-5.032190764938029,0.7036481341650705,-5.613723995173092,0.27338888234847386,0.0036342052860309755
2-1,2,1,1,S2:Lisa Rinna,256,43,0,0.4431314986259584,-1.2900651749527905,0,-4.451234662999364,-2.5881318919326906,-2.9223707926590636,0.32685173704806897,-3.2845676793394305,0.11930169518611992,0.0361044198045921
