,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha0,-3.16389,0.163278,-3.462409,-2.853839,0.002859,0.001903,3276.757659,4156.926738,1.000674
beta_age,-0.250221,0.087036,-0.415838,-0.090903,0.001313,0.00099,4394.029503,4599.431908,1.000594
beta_week,0.66038,0.088866,0.492485,0.822257,0.001261,0.001016,4960.960161,4315.994346,1.000216
sigma_pro,0.148383,0.11014,5.7e-05,0.346033,0.002514,0.001529,1726.957367,2260.758836,1.003814
sigma_season,0.146562,0.107643,3.4e-05,0.337324,0.002571,0.001408,1464.41977,1572.341849,1.002483
sigma_celeb,0.135179,0.101811,0.000279,0.320471,0.002489,0.001589,1503.036679,2204.889432,1.001102
beta_score,5.382234,0.507265,4.438068,6.310278,0.009903,0.006008,2618.561068,3428.920868,1.000564
beta_fan,-4.714733,0.331175,-5.341304,-4.112071,0.006803,0.004207,2363.407891,3069.783717,1.000741
beta_ind[0],0.0837,0.163032,-0.236864,0.379347,0.002039,0.001862,6410.089249,5395.14082,1.000215
beta_ind[1],0.05283,0.183587,-0.291747,0.398948,0.002277,0.002193,6491.724554,4920.687825,1.001951
beta_ind[2],-0.534343,0.352497,-1.199823,0.124618,0.003956,0.004633,7940.095297,4203.254356,0.999971
beta_ind[3],0.816596,0.315478,0.232327,1.38985,0.003223,0.004622,9655.712194,4590.961089,1.000095
beta_ind[4],-0.320516,0.272452,-0.801844,0.206438,0.002572,0.003604,11225.135668,4706.893903,1.000571
beta_ind[5],0.20518,0.1996,-0.146486,0.596647,0.002191,0.002577,8316.118192,4266.994293,1.000634
beta_ind[6],0.209721,0.457128,-0.645395,1.060241,0.005852,0.005577,6191.401952,4988.923641,1.001084
beta_ind[7],-0.513168,0.192333,-0.869074,-0.150096,0.002111,0.002239,8295.222614,5256.264816,1.000821
