celebrity_name,season,week,judge_score_total,judge_score_count,raw_zero_count,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,results,placement,judge_score_avg
Evander Holyfield,1,1,18.0,3,0,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,6.0
Joey McIntyre,1,1,20.0,3,0,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,6.666666666666667
John O'Hurley,1,1,20.0,3,0,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,6.666666666666667
Kelly Monaco,1,1,13.0,3,0,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,4.333333333333333
Rachel Hunter,1,1,20.0,3,0,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,6.666666666666667
Trista Sutter,1,1,18.0,3,0,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,6.0
Evander Holyfield,1,2,14.0,3,0,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,4.666666666666667
Joey McIntyre,1,2,21.0,3,0,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,7.0
John O'Hurley,1,2,26.0,3,0,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,8.666666666666666
Kelly Monaco,1,2,17.0,3,0,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,5.666666666666667
Rachel Hunter,1,2,24.0,3,0,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,8.0
Trista Sutter,1,2,19.0,3,0,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,6.333333333333333
Evander Holyfield,1,3,13.0,3,0,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,4.333333333333333
Joey McIntyre,1,3,22.0,3,0,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,7.333333333333333
John O'Hurley,1,3,24.0,3,0,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,8.0
Kelly Monaco,1,3,21.0,3,0,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,7.0
Rachel Hunter,1,3,26.0,3,0,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,8.666666666666666
Trista Sutter,1,3,0.0,3,3,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,0.0
Evander Holyfield,1,4,0.0,3,3,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,0.0
Joey McIntyre,1,4,20.0,3,0,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,6.666666666666667
John O'Hurley,1,4,21.0,3,0,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,7.0
Kelly Monaco,1,4,26.0,3,0,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,8.666666666666666
Rachel Hunter,1,4,25.0,3,0,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,8.333333333333334
Trista Sutter,1,4,0.0,3,3,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,0.0
Evander Holyfield,1,5,0.0,3,3,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,0.0
Joey McIntyre,1,5,22.5,3,0,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,7.5
John O'Hurley,1,5,27.0,3,0,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,9.0
Kelly Monaco,1,5,23.5,3,0,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,7.833333333333333
Rachel Hunter,1,5,0.0,3,3,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,0.0
Trista Sutter,1,5,0.0,3,3,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,0.0
Evander Holyfield,1,6,0.0,3,3,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,0.0
Joey McIntyre,1,6,0.0,3,3,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,0.0
John O'Hurley,1,6,27.0,3,0,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,9.0
Kelly Monaco,1,6,27.5,3,0,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,9.166666666666666
Rachel Hunter,1,6,0.0,3,3,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,0.0
Trista Sutter,1,6,0.0,3,3,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,0.0
Drew Lachey,2,1,24.0,3,0,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,8.0
George Hamilton,2,1,18.0,3,0,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,6.0
Giselle Fernandez,2,1,23.0,3,0,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,7.666666666666667
Jerry Rice,2,1,21.0,3,0,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,7.0
