event_id,season,week,is_judges_save,terminal,n_active,elim_count,use_two_stage,fallback_one_stage,reason
1-1,1,1,False,False,6,0,False,True,not_judges_save
1-2,1,2,False,False,6,1,False,True,not_judges_save
1-3,1,3,False,False,5,1,False,True,not_judges_save
1-4,1,4,False,False,4,1,False,True,not_judges_save
1-5,1,5,False,False,3,1,False,True,not_judges_save
1-6,1,6,False,True,2,0,False,True,not_judges_save
2-1,2,1,False,False,10,1,False,True,not_judges_save
2-2,2,2,False,False,9,1,False,True,not_judges_save
2-3,2,3,False,False,8,1,False,True,not_judges_save
2-4,2,4,False,False,7,1,False,True,not_judges_save
2-5,2,5,False,False,6,1,False,True,not_judges_save
2-6,2,6,False,False,5,1,False,True,not_judges_save
2-7,2,7,False,False,4,1,False,True,not_judges_save
2-8,2,8,False,True,3,0,False,True,not_judges_save
3-1,3,1,False,False,11,1,False,True,not_judges_save
3-2,3,2,False,False,10,1,False,True,not_judges_save
3-3,3,3,False,False,9,1,False,True,not_judges_save
3-4,3,4,False,False,8,1,False,True,not_judges_save
3-5,3,5,False,False,7,2,False,True,not_judges_save
3-6,3,6,False,False,5,0,False,True,not_judges_save
3-7,3,7,False,False,5,1,False,True,not_judges_save
3-8,3,8,False,False,4,1,False,True,not_judges_save
3-9,3,9,False,False,3,1,False,True,not_judges_save
3-10,3,10,False,True,2,0,False,True,not_judges_save
4-1,4,1,False,False,11,0,False,True,not_judges_save
4-2,4,2,False,False,11,1,False,True,not_judges_save
4-3,4,3,False,False,10,1,False,True,not_judges_save
4-4,4,4,False,False,9,1,False,True,not_judges_save
4-5,4,5,False,False,8,1,False,True,not_judges_save
4-6,4,6,False,False,7,1,False,True,not_judges_save
4-7,4,7,False,False,6,1,False,True,not_judges_save
4-8,4,8,False,False,5,1,False,True,not_judges_save
4-9,4,9,False,False,4,1,False,True,not_judges_save
4-10,4,10,False,True,3,0,False,True,not_judges_save
5-1,5,1,False,False,12,1,False,True,not_judges_save
5-2,5,2,False,False,11,1,False,True,not_judges_save
5-3,5,3,False,False,10,1,False,True,not_judges_save
5-4,5,4,False,False,9,1,False,True,not_judges_save
5-5,5,5,False,False,8,1,False,True,not_judges_save
5-6,5,6,False,False,7,1,False,True,not_judges_save
5-7,5,7,False,False,6,1,False,True,not_judges_save
5-8,5,8,False,False,5,1,False,True,not_judges_save
5-9,5,9,False,False,4,1,False,True,not_judges_save
5-10,5,10,False,True,3,0,False,True,not_judges_save
6-1,6,1,False,False,12,0,False,True,not_judges_save
6-2,6,2,False,False,12,2,False,True,not_judges_save
6-3,6,3,False,False,10,1,False,True,not_judges_save
6-4,6,4,False,False,9,1,False,True,not_judges_save
6-5,6,5,False,False,8,1,False,True,not_judges_save
6-6,6,6,False,False,7,1,False,True,not_judges_save
6-7,6,7,False,False,6,1,False,True,not_judges_save
6-8,6,8,False,False,5,1,False,True,not_judges_save
6-9,6,9,False,False,4,1,False,True,not_judges_save
6-10,6,10,False,True,3,0,False,True,not_judges_save
7-1,7,1,False,False,13,2,False,True,not_judges_save
7-2,7,2,False,False,11,2,False,True,not_judges_save
7-3,7,3,False,False,9,0,False,True,not_judges_save
7-4,7,4,False,False,9,1,False,True,not_judges_save
7-5,7,5,False,False,8,1,False,True,not_judges_save
7-6,7,6,False,False,7,1,False,True,not_judges_save
