event_id,season,week,next_week,delta_week,terminal,n_active,elim_count,rule_mode,is_judges_save,active_ids,eliminated_ids,eliminated_indices,J_total_by_active,J_pct_by_active
1-1,1,1,2.0,1.0,False,6,0,rank,False,"[""S1:Evander Holyfield"", ""S1:Joey McIntyre"", ""S1:John O'Hurley"", ""S1:Kelly Monaco"", ""S1:Rachel Hunter"", ""S1:Trista Sutter""]",[],[],"[18.0, 20.0, 20.0, 13.0, 20.0, 18.0]","[0.1651376146788991, 0.1834862385321101, 0.1834862385321101, 0.11926605504587157, 0.1834862385321101, 0.1651376146788991]"
1-2,1,2,3.0,1.0,False,6,1,rank,False,"[""S1:Evander Holyfield"", ""S1:Joey McIntyre"", ""S1:John O'Hurley"", ""S1:Kelly Monaco"", ""S1:Rachel Hunter"", ""S1:Trista Sutter""]","[""S1:Trista Sutter""]",[5],"[14.0, 21.0, 26.0, 17.0, 24.0, 19.0]","[0.11570247933884298, 0.17355371900826447, 0.21487603305785125, 0.14049586776859505, 0.19834710743801653, 0.15702479338842976]"
1-3,1,3,4.0,1.0,False,5,1,rank,False,"[""S1:Evander Holyfield"", ""S1:Joey McIntyre"", ""S1:John O'Hurley"", ""S1:Kelly Monaco"", ""S1:Rachel Hunter""]","[""S1:Evander Holyfield""]",[0],"[13.0, 22.0, 24.0, 21.0, 26.0]","[0.12264150943396226, 0.20754716981132076, 0.22641509433962265, 0.19811320754716982, 0.24528301886792453]"
1-4,1,4,5.0,1.0,False,4,1,rank,False,"[""S1:Joey McIntyre"", ""S1:John O'Hurley"", ""S1:Kelly Monaco"", ""S1:Rachel Hunter""]","[""S1:Rachel Hunter""]",[3],"[20.0, 21.0, 26.0, 25.0]","[0.21739130434782608, 0.22826086956521738, 0.2826086956521739, 0.2717391304347826]"
1-5,1,5,6.0,1.0,False,3,1,rank,False,"[""S1:Joey McIntyre"", ""S1:John O'Hurley"", ""S1:Kelly Monaco""]","[""S1:Joey McIntyre""]",[0],"[22.5, 27.0, 23.5]","[0.3082191780821918, 0.3698630136986301, 0.3219178082191781]"
1-6,1,6,,,True,2,0,rank,False,"[""S1:John O'Hurley"", ""S1:Kelly Monaco""]",[],[],"[27.0, 27.5]","[0.4954128440366973, 0.5045871559633027]"
2-1,2,1,2.0,1.0,False,10,1,rank,False,"[""S2:Drew Lachey"", ""S2:George Hamilton"", ""S2:Giselle Fernandez"", ""S2:Jerry Rice"", ""S2:Kenny Mayne"", ""S2:Lisa Rinna"", ""S2:Master P"", ""S2:Stacy Keibler"", ""S2:Tatum O'Neal"", ""S2:Tia Carrere""]","[""S2:Kenny Mayne""]",[4],"[24.0, 18.0, 23.0, 21.0, 13.0, 19.0, 12.0, 22.0, 23.0, 20.0]","[0.12307692307692308, 0.09230769230769231, 0.11794871794871795, 0.1076923076923077, 0.06666666666666667, 0.09743589743589744, 0.06153846153846154, 0.11282051282051282, 0.11794871794871795, 0.10256410256410256]"
2-2,2,2,3.0,1.0,False,9,1,rank,False,"[""S2:Drew Lachey"", ""S2:George Hamilton"", ""S2:Giselle Fernandez"", ""S2:Jerry Rice"", ""S2:Lisa Rinna"", ""S2:Master P"", ""S2:Stacy Keibler"", ""S2:Tatum O'Neal"", ""S2:Tia Carrere""]","[""S2:Tatum O'Neal""]",[7],"[27.0, 22.0, 24.0, 23.0, 20.0, 16.0, 29.0, 17.0, 22.0]","[0.135, 0.11, 0.12, 0.115, 0.1, 0.08, 0.145, 0.085, 0.11]"
2-3,2,3,4.0,1.0,False,8,1,rank,False,"[""S2:Drew Lachey"", ""S2:George Hamilton"", ""S2:Giselle Fernandez"", ""S2:Jerry Rice"", ""S2:Lisa Rinna"", ""S2:Master P"", ""S2:Stacy Keibler"", ""S2:Tia Carrere""]","[""S2:Giselle Fernandez""]",[2],"[27.0, 22.0, 22.0, 19.0, 25.0, 14.0, 27.0, 26.0]","[0.14835164835164835, 0.12087912087912088, 0.12087912087912088, 0.1043956043956044, 0.13736263736263737, 0.07692307692307693, 0.14835164835164835, 0.14285714285714285]"
2-4,2,4,5.0,1.0,False,7,1,rank,False,"[""S2:Drew Lachey"", ""S2:George Hamilton"", ""S2:Jerry Rice"", ""S2:Lisa Rinna"", ""S2:Master P"", ""S2:Stacy Keibler"", ""S2:Tia Carrere""]","[""S2:Master P""]",[4],"[28.0, 21.0, 24.0, 26.0, 8.0, 26.0, 25.0]","[0.17721518987341772, 0.13291139240506328, 0.1518987341772152, 0.16455696202531644, 0.05063291139240506, 0.16455696202531644, 0.15822784810126583]"
2-5,2,5,6.0,1.0,False,6,1,rank,False,"[""S2:Drew Lachey"", ""S2:George Hamilton"", ""S2:Jerry Rice"", ""S2:Lisa Rinna"", ""S2:Stacy Keibler"", ""S2:Tia Carrere""]","[""S2:Tia Carrere""]",[5],"[27.0, 24.0, 23.0, 25.0, 30.0, 22.0]","[0.17880794701986755, 0.15894039735099338, 0.152317880794702, 0.16556291390728478, 0.1986754966887417, 0.1456953642384106]"
2-6,2,6,7.0,1.0,False,5,1,rank,False,"[""S2:Drew Lachey"", ""S2:George Hamilton"", ""S2:Jerry Rice"", ""S2:Lisa Rinna"", ""S2:Stacy Keibler""]","[""S2:George Hamilton""]",[1],"[30.0, 23.0, 23.0, 27.0, 30.0]","[0.22556390977443608, 0.17293233082706766, 0.17293233082706766, 0.20300751879699247, 0.22556390977443608]"
2-7,2,7,8.0,1.0,False,4,1,rank,False,"[""S2:Drew Lachey"", ""S2:Jerry Rice"", ""S2:Lisa Rinna"", ""S2:Stacy Keibler""]","[""S2:Lisa Rinna""]",[2],"[27.5, 20.5, 26.5, 27.5]","[0.2696078431372549, 0.20098039215686275, 0.25980392156862747, 0.2696078431372549]"
2-8,2,8,,,True,3,0,rank,False,"[""S2:Drew Lachey"", ""S2:Jerry Rice"", ""S2:Stacy Keibler""]",[],[],"[28.9998, 26.666600000000003, 28.6665]","[0.34387291318097685, 0.31620636785880724, 0.33992071896021603]"
3-1,3,1,2.0,1.0,False,11,1,percent,False,"[""S3:Emmitt Smith"", ""S3:Harry Hamlin"", ""S3:Jerry Springer"", ""S3:Joey Lawrence"", ""S3:Mario Lopez"", ""S3:Monique Coleman"", ""S3:Sara Evans"", ""S3:Shanna Moakler"", ""S3:Tucker Carlson"", ""S3:Vivica A. Fox"", ""S3:Willa Ford""]","[""S3:Tucker Carlson""]",[8],"[24.0, 17.0, 16.0, 21.0, 26.0, 19.0, 15.0, 18.0, 12.0, 22.0, 22.0]","[0.11320754716981132, 0.08018867924528301, 0.07547169811320754, 0.09905660377358491, 0.12264150943396226, 0.08962264150943396, 0.07075471698113207, 0.08490566037735849, 0.05660377358490566, 0.10377358490566038, 0.10377358490566038]"
3-2,3,2,3.0,1.0,False,10,1,percent,False,"[""S3:Emmitt Smith"", ""S3:Harry Hamlin"", ""S3:Jerry Springer"", ""S3:Joey Lawrence"", ""S3:Mario Lopez"", ""S3:Monique Coleman"", ""S3:Sara Evans"", ""S3:Shanna Moakler"", ""S3:Vivica A. Fox"", ""S3:Willa Ford""]","[""S3:Shanna Moakler""]",[7],"[24.0, 21.0, 19.0, 29.0, 21.0, 26.0, 21.0, 22.0, 24.0, 23.0]","[0.10434782608695652, 0.09130434782608696, 0.08260869565217391, 0.12608695652173912, 0.09130434782608696, 0.11304347826086956, 0.09130434782608696, 0.09565217391304348, 0.10434782608695652, 0.1]"
3-3,3,3,4.0,1.0,False,9,1,percent,False,"[""S3:Emmitt Smith"", ""S3:Harry Hamlin"", ""S3:Jerry Springer"", ""S3:Joey Lawrence"", ""S3:Mario Lopez"", ""S3:Monique Coleman"", ""S3:Sara Evans"", ""S3:Vivica A. Fox"", ""S3:Willa Ford""]","[""S3:Harry Hamlin""]",[1],"[19.0, 22.0, 21.0, 22.0, 22.0, 27.0, 25.0, 27.0, 22.0]","[0.09178743961352658, 0.10628019323671498, 0.10144927536231885, 0.10628019323671498, 0.10628019323671498, 0.13043478260869565, 0.12077294685990338, 0.13043478260869565, 0.10628019323671498]"
3-4,3,4,5.0,1.0,False,8,1,percent,False,"[""S3:Emmitt Smith"", ""S3:Jerry Springer"", ""S3:Joey Lawrence"", ""S3:Mario Lopez"", ""S3:Monique Coleman"", ""S3:Sara Evans"", ""S3:Vivica A. Fox"", ""S3:Willa Ford""]","[""S3:Vivica A. Fox""]",[6],"[24.0, 22.0, 27.0, 29.0, 24.0, 20.0, 24.0, 28.0]","[0.12121212121212122, 0.1111111111111111, 0.13636363636363635, 0.14646464646464646, 0.12121212121212122, 0.10101010101010101, 0.12121212121212122, 0.1414141414141414]"
