event_id,season,week,slot,contestant_id,pi_mean,pi_sd,pi_hdi_low,pi_hdi_high,pi_hdi_width,pi_q025,pi_q975
1-1,1,1,0,S1:Evander Holyfield,0.15785168207016562,0.16656318881223633,1.895969463083659e-08,0.47855450273563016,0.4785544837759355,0.0016721871403692571,0.6596694270366796
1-1,1,1,1,S1:Joey McIntyre,0.1732948726926021,0.17747577916595988,7.985242536059733e-08,0.5195628368131121,0.5195627569606868,0.002159993642512644,0.690765384023933
1-1,1,1,2,S1:John O'Hurley,0.1863716167650281,0.18903488923339057,1.1071774214269494e-06,0.5637511637825426,0.5637500566051212,0.001534818222594554,0.7352548909455272
1-1,1,1,3,S1:Kelly Monaco,0.2013070722304373,0.19956425135191663,5.71774322623871e-07,0.6141653245437156,0.614164752769393,0.0019595578168711096,0.7714072057039653
1-1,1,1,4,S1:Rachel Hunter,0.1446585353708791,0.1618391535364773,3.5982951537976027e-06,0.43799717035376,0.43799357205860623,0.0011950658260063238,0.651904770106969
1-1,1,1,5,S1:Trista Sutter,0.13651622087088777,0.1535253236681108,1.0615179870577154e-06,0.42075106020771247,0.4207499986897254,0.0013936589864447307,0.5980100829648718
1-2,1,2,0,S1:Evander Holyfield,0.17917833522674328,0.179943523692155,2.661783010541366e-06,0.5289696023453726,0.528966940562362,0.0021071593586074193,0.7182734215427881
1-2,1,2,1,S1:Joey McIntyre,0.17421109691540299,0.17604573675849497,3.9563215544522517e-07,0.5166631163455955,0.51666272071344,0.002042970105952839,0.6998052654998038
1-2,1,2,2,S1:John O'Hurley,0.18458511845255146,0.1856870890825219,3.385717876198463e-08,0.5497891222711727,0.549789088413994,0.002291440411475588,0.7322410719548847
1-2,1,2,3,S1:Kelly Monaco,0.21229605283340858,0.20228284795370202,6.809726784672863e-08,0.608428890414781,0.6084288223175132,0.002789393422537939,0.7988369546292329
1-2,1,2,4,S1:Rachel Hunter,0.14836866866999998,0.16401172378243126,2.6825662860962795e-06,0.4563227471293546,0.4563200645630685,0.0011173892713152599,0.6420585867843892
1-2,1,2,5,S1:Trista Sutter,0.10136072790189368,0.10768046438868238,2.7512330277238905e-06,0.2651988331993057,0.265196081966278,0.001006545147495066,0.3841682827709649
1-3,1,3,0,S1:Evander Holyfield,0.15573289047911007,0.16247253644801912,4.811390675674409e-07,0.4387003578211991,0.4386998766821315,0.0020829573873560893,0.6603070714658659
