event_id,season,week,rule_mode,elim_count,use_two_stage,elim_slots,bottomk_slots_by_Smean,hard_hit_set,hard_hit_all_in_bottomk,hard_hit_k1_exact,hard_stage1_hit_bottom2,hard_stage2_pred_slot,hard_stage2_hit_pred
1-1,1,1,rank,0,0,[],[],1,1,,,,
1-2,1,2,rank,1,0,[5],[0],0,0,0.0,,,
1-3,1,3,rank,1,0,[0],[0],1,1,1.0,,,
1-4,1,4,rank,1,0,[3],[0],0,0,0.0,,,
1-5,1,5,rank,1,0,[0],[0],1,1,1.0,,,
1-6,1,6,rank,0,0,[],[],1,1,,,,
2-1,2,1,rank,1,0,[4],[6],0,0,0.0,,,
2-2,2,2,rank,1,0,[7],[5],0,0,0.0,,,
2-3,2,3,rank,1,0,[2],[5],0,0,0.0,,,
2-4,2,4,rank,1,0,[4],[4],1,1,1.0,,,
2-5,2,5,rank,1,0,[5],[5],1,1,1.0,,,
2-6,2,6,rank,1,0,[1],[1],1,1,1.0,,,
2-7,2,7,rank,1,0,[2],[1],0,0,0.0,,,
2-8,2,8,rank,0,0,[],[],1,1,,,,
3-1,3,1,percent,1,0,[8],[8],1,1,1.0,,,
3-2,3,2,percent,1,0,[7],[2],0,0,0.0,,,
3-3,3,3,percent,1,0,[1],[1],1,1,1.0,,,
3-4,3,4,percent,1,0,[6],[5],0,0,0.0,,,
3-5,3,5,percent,2,0,"[5, 6]","[5, 1]",0,0,,,,
3-6,3,6,percent,0,0,[],[],1,1,,,,
3-7,3,7,percent,1,0,[1],[1],1,1,1.0,,,
3-8,3,8,percent,1,0,[3],[3],1,1,1.0,,,
3-9,3,9,percent,1,0,[1],[1],1,1,1.0,,,
3-10,3,10,percent,0,0,[],[],1,1,,,,
4-1,4,1,percent,0,0,[],[],1,1,,,,
4-2,4,2,percent,1,0,[9],[2],0,0,0.0,,,
4-3,4,3,percent,1,0,[9],[2],0,0,0.0,,,
4-4,4,4,percent,1,0,[8],[8],1,1,1.0,,,
4-5,4,5,percent,1,0,[2],[2],1,1,1.0,,,
4-6,4,6,percent,1,0,[2],[5],0,0,0.0,,,
4-7,4,7,percent,1,0,[4],[1],0,0,0.0,,,
4-8,4,8,percent,1,0,[1],[1],1,1,1.0,,,
4-9,4,9,percent,1,0,[1],[1],1,1,1.0,,,
4-10,4,10,percent,0,0,[],[],1,1,,,,
5-1,5,1,percent,1,0,[6],[6],1,1,1.0,,,
5-2,5,2,percent,1,0,[0],[10],0,0,0.0,,,
5-3,5,3,percent,1,0,[9],[9],1,1,1.0,,,
5-4,5,4,percent,1,0,[1],[1],1,1,1.0,,,
5-5,5,5,percent,1,0,[5],[5],1,1,1.0,,,
5-6,5,6,percent,1,0,[6],[2],0,0,0.0,,,
5-7,5,7,percent,1,0,[2],[2],1,1,1.0,,,
5-8,5,8,percent,1,0,[0],[0],1,1,1.0,,,
5-9,5,9,percent,1,0,[1],[1],1,1,1.0,,,
5-10,5,10,percent,0,0,[],[],1,1,,,,
6-1,6,1,percent,0,0,[],[],1,1,,,,
6-2,6,2,percent,2,0,"[7, 8]","[7, 8]",1,1,,,,
6-3,6,3,percent,1,0,[9],[5],0,0,0.0,,,
6-4,6,4,percent,1,0,[0],[0],1,1,1.0,,,
6-5,6,5,percent,1,0,[6],[6],1,1,1.0,,,
6-6,6,6,percent,1,0,[5],[5],1,1,1.0,,,
6-7,6,7,percent,1,0,[5],[5],1,1,1.0,,,
6-8,6,8,percent,1,0,[3],[3],1,1,1.0,,,
6-9,6,9,percent,1,0,[3],[3],1,1,1.0,,,
6-10,6,10,percent,0,0,[],[],1,1,,,,
7-1,7,1,percent,2,0,"[3, 10]","[3, 1]",0,0,,,,
7-2,7,2,percent,2,0,"[3, 6]","[7, 1]",0,0,,,,
7-3,7,3,percent,0,0,[],[],1,1,,,,
7-4,7,4,percent,1,0,[5],[5],1,1,1.0,,,
7-5,7,5,percent,1,0,[6],[6],1,1,1.0,,,
7-6,7,6,percent,1,0,[1],[1],1,1,1.0,,,
7-7,7,7,percent,1,0,[4],[1],0,0,0.0,,,
7-8,7,8,percent,1,0,[3],[3],1,1,1.0,,,
7-9,7,9,percent,1,0,[1],[1],1,1,1.0,,,
7-10,7,10,percent,0,0,[],[],1,1,,,,
8-1,8,1,percent,0,0,[],[],1,1,,,,
8-2,8,2,percent,1,0,[0],[11],0,0,0.0,,,
8-3,8,3,percent,1,0,[2],[9],0,0,0.0,,,
8-4,8,4,percent,2,0,"[3, 8]","[8, 3]",1,1,,,,
8-5,8,5,percent,1,0,[1],[7],0,0,0.0,,,
8-6,8,6,percent,1,0,[6],[6],1,1,1.0,,,
8-7,8,7,percent,1,0,[2],[2],1,1,1.0,,,
8-8,8,8,percent,1,0,[0],[0],1,1,1.0,,,
8-9,8,9,percent,1,0,[1],[4],0,0,0.0,,,
8-10,8,10,percent,1,0,[3],[3],1,1,1.0,,,
8-11,8,11,percent,0,0,[],[],1,1,,,,
9-1,9,1,percent,2,0,"[1, 9]","[1, 9]",1,1,,,,
9-2,9,2,percent,1,0,[5],[5],1,1,1.0,,,
9-3,9,3,percent,2,0,"[2, 12]","[12, 9]",0,0,,,,
9-4,9,4,percent,1,0,[1],[1],1,1,1.0,,,
9-5,9,5,percent,1,0,[9],[4],0,0,0.0,,,
9-6,9,6,percent,2,0,"[4, 6]","[4, 7]",0,0,,,,
9-7,9,7,percent,2,0,"[4, 5]","[4, 5]",1,1,,,,
9-8,9,8,percent,1,0,[0],[0],1,1,1.0,,,
9-9,9,9,percent,1,0,[1],[1],1,1,1.0,,,
9-10,9,10,percent,0,0,[],[],1,1,,,,
10-1,10,1,percent,0,0,[],[],1,1,,,,
10-2,10,2,percent,1,0,[10],[1],0,0,0.0,,,
10-3,10,3,percent,1,0,[1],[1],1,1,1.0,,,
10-4,10,4,percent,1,0,[0],[0],1,1,1.0,,,
10-5,10,5,percent,1,0,[4],[4],1,1,1.0,,,
10-6,10,6,percent,1,0,[3],[3],1,1,1.0,,,
10-7,10,7,percent,1,0,[5],[5],1,1,1.0,,,
10-8,10,8,percent,1,0,[4],[4],1,1,1.0,,,
10-9,10,9,percent,1,0,[0],[0],1,1,1.0,,,
10-10,10,10,percent,0,0,[],[],1,1,,,,
11-1,11,1,percent,1,0,[3],[8],0,0,0.0,,,
11-2,11,2,percent,1,0,[8],[8],1,1,1.0,,,
11-3,11,3,percent,1,0,[7],[7],1,1,1.0,,,
11-4,11,4,percent,1,0,[8],[8],1,1,1.0,,,
11-5,11,5,percent,1,0,[3],[3],1,1,1.0,,,
11-6,11,6,percent,1,0,[0],[4],0,0,0.0,,,
11-7,11,7,percent,1,0,[5],[5],1,1,1.0,,,
11-8,11,8,percent,1,0,[3],[3],1,1,1.0,,,
11-9,11,9,percent,1,0,[0],[0],1,1,1.0,,,
11-10,11,10,percent,0,0,[],[],1,1,,,,
12-1,12,1,percent,0,0,[],[],1,1,,,,
12-2,12,2,percent,1,0,[5],[5],1,1,1.0,,,
12-3,12,3,percent,1,0,[9],[9],1,1,1.0,,,
12-4,12,4,percent,1,0,[8],[3],0,0,0.0,,,
12-5,12,5,percent,1,0,[5],[5],1,1,1.0,,,
12-6,12,6,percent,1,0,[1],[1],1,1,1.0,,,
12-7,12,7,percent,1,0,[2],[2],1,1,1.0,,,
12-8,12,8,percent,1,0,[4],[3],0,0,0.0,,,
12-9,12,9,percent,1,0,[3],[3],1,1,1.0,,,
12-10,12,10,percent,0,0,[],[],1,1,,,,
13-1,13,1,percent,1,0,[8],[8],1,1,1.0,,,
13-2,13,2,percent,1,0,[4],[1],0,0,0.0,,,
13-3,13,3,percent,1,0,[6],[1],0,0,0.0,,,
13-4,13,4,percent,1,0,[2],[2],1,1,1.0,,,
13-5,13,5,percent,1,0,[0],[0],1,1,1.0,,,
13-6,13,6,percent,1,0,[0],[0],1,1,1.0,,,
13-7,13,7,percent,1,0,[0],[3],0,0,0.0,,,
13-8,13,8,percent,1,0,[2],[2],1,1,1.0,,,
13-9,13,9,percent,1,0,[0],[0],1,1,1.0,,,
13-10,13,10,percent,0,0,[],[],1,1,,,,
14-1,14,1,percent,0,0,[],[],1,1,,,,
14-2,14,2,percent,1,0,[7],[7],1,1,1.0,,,
14-3,14,3,percent,1,0,[3],[3],1,1,1.0,,,
14-4,14,4,percent,1,0,[8],[8],1,1,1.0,,,
14-5,14,5,percent,1,0,[1],[1],1,1,1.0,,,
14-6,14,6,percent,1,0,[1],[1],1,1,1.0,,,
14-7,14,7,percent,1,0,[1],[1],1,1,1.0,,,
14-8,14,8,percent,2,0,"[3, 4]","[3, 2]",0,0,,,,
14-9,14,9,percent,1,0,[2],[2],1,1,1.0,,,
14-10,14,10,percent,0,0,[],[],1,1,,,,
15-1,15,1,percent,1,0,[10],[10],1,1,1.0,,,
15-2,15,2,percent,1,0,[6],[1],0,0,0.0,,,
15-3,15,3,percent,2,0,"[2, 5]","[1, 2]",0,0,,,,
15-4,15,4,percent,1,0,[1],[1],1,1,1.0,,,
15-5,15,5,percent,0,0,[],[],1,1,,,,
15-6,15,6,percent,1,0,[6],[1],0,0,0.0,,,
15-7,15,7,percent,0,0,[],[],1,1,,,,
15-8,15,8,percent,2,0,"[2, 4]","[4, 2]",1,1,,,,
