event_id,season,week,elim_count,use_two_stage,rule_mode,ppc_p_mean,ppc_p_q025,ppc_p_q975,ppc_logp_mean,ppc_logp_q025,ppc_logp_q975
1-1,1,1,0,0,rank,1.0,1.0,1.0,0.0,0.0,0.0
1-2,1,2,1,0,rank,0.1800938198589016,0.0536050599394228,0.310906762192085,-1.7909570760417,-2.9261118230155065,-1.1682623348669274
1-3,1,3,1,0,rank,0.476584215504973,0.1822041137217378,0.7207929126497911,-0.7898151215548997,-1.7026277533604732,-0.3274034233378513
1-4,1,4,1,0,rank,0.1909349467490375,0.0608470329060864,0.3011166330581584,-1.7259503329401813,-2.7993922234834807,-1.200257604072857
1-5,1,5,1,0,rank,0.5385150149736343,0.3240767446289861,0.7401379755827557,-0.6465324691074225,-1.1267749250998893,-0.3009186600341894
1-6,1,6,0,0,rank,1.0,1.0,1.0,0.0,0.0,0.0
2-1,2,1,1,0,rank,0.2990543362831941,0.0953074414059065,0.5411617576196053,-1.281490398099754,-2.350650022276455,-0.6140370843233973
2-2,2,2,1,0,rank,0.2979347919053645,0.0924085376992751,0.5385998434171376,-1.2862414528096742,-2.38153598413953,-0.6187823908056231
2-3,2,3,1,0,rank,0.1469968094793699,0.0408506754967452,0.2686274528001611,-2.001722762316495,-3.197832003559524,-1.3144297945170027
2-4,2,4,1,0,rank,0.4406529120246486,0.1328605732199795,0.6944848673473134,-0.8849848961562821,-2.018455072266478,-0.3645849651697557
2-5,2,5,1,0,rank,0.4784854394201721,0.1718252588766393,0.7296704774721904,-0.7870919199968321,-1.7612772571772877,-0.3151622474949024
2-6,2,6,1,0,rank,0.3942733150108007,0.1422042847742088,0.6189648220894018,-0.9869128065545956,-1.950490635331399,-0.4797069190081957
2-7,2,7,1,0,rank,0.3279257611653084,0.1214165932749439,0.5072472637455415,-1.1721778974456956,-2.1085277467618,-0.6787567024108538
2-8,2,8,0,0,rank,1.0,1.0,1.0,0.0,0.0,0.0
3-1,3,1,1,0,percent,0.0931254154114908,0.0799230076535987,0.0982753776828922,-2.375321197393964,-2.5266915120480715,-2.3199817646632543
3-2,3,2,1,0,percent,0.1006657849290489,0.0839669406188803,0.1063770298503191,-2.297851389242807,-2.4773322453177062,-2.240765610315913
3-3,3,3,1,0,percent,0.1120187619722321,0.0927829972939841,0.1190788197573523,-2.191203314527255,-2.377492160348604,-2.127969654234259
3-4,3,4,1,0,percent,0.1260728394398987,0.1020263473377404,0.1349867402770137,-2.073257638892199,-2.2825242217057826,-2.0025787255399914
3-5,3,5,2,0,percent,0.0483129756071369,0.0352517950186894,0.0562041617235193,-3.036434988554216,-3.3452388322061997,-2.878764472909879
3-6,3,6,0,0,percent,1.0,1.0,1.0,0.0,0.0,0.0
3-7,3,7,1,0,percent,0.2057155377971586,0.1517620413410876,0.2290311017011369,-1.5859961938987424,-1.8854415105718487,-1.4738974694553182
