event_id,season,week,rule_mode,elim_count,hard_hit_set,hard_hit_all_in_bottomk,hard_hit_k1_exact,hard_stage1_hit_bottom2,hard_stage2_hit_pred,use_two_stage,ppc_p_mean,ppc_p_q025,ppc_p_q975,ppc_logp_mean,ppc_logp_q025,ppc_logp_q975,pi_hdi_width_mean,pi_hdi_width_median,pi_sd_mean,pi_sd_median,pi_mean_max,pi_mean_min
1-1,1,1,rank,0,1,1,,,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.5057959368099113,0.49905862036831117,0.17466709762801522,0.17201948398909805,0.2013070722304373,0.1365162208708877
1-2,1,2,rank,1,0,0,0.0,,,0,0.1800938198589016,0.0536050599394228,0.310906762192085,-1.7909570760417,-2.9261118230155065,-1.1682623348669274,0.4875606197561093,0.522814830637901,0.16927523094299787,0.17799463022532494,0.2122960528334085,0.1013607279018936
1-3,1,3,rank,1,1,1,1.0,,,0,0.476584215504973,0.1822041137217378,0.7207929126497911,-0.7898151215548997,-1.7026277533604732,-0.3274034233378513,0.5747728427657695,0.5870923618822311,0.19238389932550806,0.1962428328692418,0.2478794171313108,0.15573289047911
1-4,1,4,rank,1,0,0,0.0,,,0,0.1909349467490375,0.0608470329060864,0.3011166330581584,-1.7259503329401813,-2.7993922234834807,-1.200257604072857,0.6730727407445009,0.7327198577761529,0.21480892939349022,0.2294348905345407,0.2822948304805543,0.1668186254707524
1-5,1,5,rank,1,1,1,1.0,,,0,0.5385150149736343,0.3240767446289861,0.7401379755827557,-0.6465324691074225,-1.1267749250998893,-0.3009186600341894,0.8093763013986631,0.829075619274147,0.24806382373558755,0.2520628657019737,0.3731369940309055,0.2827217243719701
1-6,1,6,rank,0,1,1,,,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.95897910506033,0.95897910506033,0.2950171100357553,0.2950171100357553,0.513225369363076,0.486774630636924
2-1,2,1,rank,1,0,0,0.0,,,0,0.2990543362831941,0.0953074414059065,0.5411617576196053,-1.281490398099754,-2.350650022276455,-0.6140370843233973,0.30062164381262,0.31196068299083896,0.12058309164825035,0.12492986087885234,0.1481683120866563,0.057928350549005
2-2,2,2,rank,1,0,0,0.0,,,0,0.2979347919053645,0.0924085376992751,0.5385998434171376,-1.2862414528096742,-2.38153598413953,-0.6187823908056231,0.33574281717537485,0.3496843352935743,0.1280233654654658,0.1344594702876409,0.1613293012576428,0.0658117178550187
2-3,2,3,rank,1,0,0,0.0,,,0,0.1469968094793699,0.0408506754967452,0.2686274528001611,-2.001722762316495,-3.197832003559524,-1.3144297945170027,0.3694742945154668,0.3694739853068585,0.13787940340179528,0.1399898014689649,0.1815228188227853,0.0690485715529901
2-4,2,4,rank,1,1,1,1.0,,,0,0.4406529120246486,0.1328605732199795,0.6944848673473134,-0.8849848961562821,-2.018455072266478,-0.3645849651697557,0.4312887103520081,0.4297831827699267,0.15555640849923352,0.1564548034547991,0.1976621509789317,0.1180679460492594
2-5,2,5,rank,1,1,1,1.0,,,0,0.4784854394201721,0.1718252588766393,0.7296704774721904,-0.7870919199968321,-1.7612772571772877,-0.3151622474949024,0.4878047644107589,0.48811480792609935,0.16972557273219277,0.17078360585902103,0.2344868383206124,0.1146724635112794
2-6,2,6,rank,1,1,1,1.0,,,0,0.3942733150108007,0.1422042847742088,0.6189648220894018,-0.9869128065545956,-1.950490635331399,-0.4797069190081957,0.5706147771825136,0.5711877631519615,0.19051495266165291,0.1943106849975619,0.2731583665404124,0.1488662555731291
2-7,2,7,rank,1,0,0,0.0,,,0,0.3279257611653084,0.1214165932749439,0.5072472637455415,-1.1721778974456956,-2.1085277467618,-0.6787567024108538,0.6617845400283988,0.6629088567888373,0.2125411336893701,0.21351232890469213,0.3420295290562708,0.1790193206775879
2-8,2,8,rank,0,1,1,,,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.8243314570626583,0.7944593553131322,0.25371519280636085,0.2463617080869623,0.3940147205530724,0.3025972062720253
3-1,3,1,percent,1,1,1,1.0,,,0,0.0931254154114908,0.0799230076535987,0.0982753776828922,-2.375321197393964,-2.5266915120480715,-2.3199817646632543,0.2834728616168873,0.277986583354201,0.11813061309619645,0.1168203466853848,0.1013948573835841,0.081403370762113
3-2,3,2,percent,1,0,0,0.0,,,0,0.1006657849290489,0.0839669406188803,0.1063770298503191,-2.297851389242807,-2.4773322453177062,-2.240765610315913,0.3047529720386056,0.30232599335578836,0.12460207770940049,0.1252218198220708,0.1136686523856702,0.0919248454407013
3-3,3,3,percent,1,1,1,1.0,,,0,0.1120187619722321,0.0927829972939841,0.1190788197573523,-2.191203314527255,-2.377492160348604,-2.127969654234259,0.3426619757113343,0.3350901091261194,0.13458384432856882,0.1339221840328338,0.12160092239578,0.1007754842029381
3-4,3,4,percent,1,0,0,0.0,,,0,0.1260728394398987,0.1020263473377404,0.1349867402770137,-2.073257638892199,-2.2825242217057826,-2.0025787255399914,0.38511262548135516,0.3832779507989606,0.14472793922257018,0.14449593819280454,0.1352501077275422,0.1126423100445485
3-5,3,5,percent,2,0,0,,,,0,0.0483129756071369,0.0352517950186894,0.0562041617235193,-3.036434988554216,-3.3452388322061997,-2.878764472909879,0.4373306898138564,0.435493823641153,0.15755316281846604,0.1564739864551054,0.1597952412966621,0.1316502384815335
3-6,3,6,percent,0,1,1,,,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.5965771471548307,0.6099780161281814,0.19736777001884867,0.1997251704391368,0.2110023991848792,0.187982700087834
3-7,3,7,percent,1,1,1,1.0,,,0,0.2057155377971586,0.1517620413410876,0.2290311017011369,-1.5859961938987424,-1.8854415105718487,-1.4738974694553182,0.5905131704608716,0.6055569275693143,0.19616093382900068,0.1980121899438044,0.2142836301001775,0.1785228231156594
3-8,3,8,percent,1,1,1,1.0,,,0,0.2545941040121972,0.1835340738592624,0.2889891461973372,-1.3742570465595274,-1.695355253840189,-1.241366148782717,0.6893949200431623,0.7009928329425132,0.220096410624383,0.22277656927456113,0.2681740722632528,0.2231126948788747
3-9,3,9,percent,1,1,1,1.0,,,0,0.3393784902268402,0.2363844838576121,0.3999991237123084,-1.0896375841282926,-1.4422956315737807,-0.9162929226079032,0.8258441664037769,0.8450928585202162,0.2549457074966944,0.2587892540292249,0.3504884638357067,0.299916123349024
3-10,3,10,percent,0,1,1,,,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.9574029355908624,0.9574029355908624,0.2899265548678049,0.2899265548678049,0.5031592081370369,0.4968407918629631
4-1,4,1,percent,0,1,1,,,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.28518337005346056,0.2838248579365415,0.11701407381790237,0.1150852469059699,0.0993343352027588,0.0851875168038222
4-2,4,2,percent,1,0,0,0.0,,,0,0.0913579342425606,0.0747724579841282,0.0962663952791562,-2.394903400323282,-2.5933056762834683,-2.340635979844358,0.28372103133216425,0.2795706092416616,0.11899911756954965,0.1190603609760847,0.0975138959803485,0.0846418133746975
4-3,4,3,percent,1,0,0,0.0,,,0,0.1005600232265985,0.0829049324557989,0.1064245555633188,-2.298993087084429,-2.4900607198028486,-2.2403189433781563,0.30860872963712543,0.3095832187338251,0.12561858402958082,0.12693913440246618,0.1084811962925795,0.0933468219815858
4-4,4,4,percent,1,1,1,1.0,,,0,0.113285623433788,0.0943885191412789,0.120826224337409,-2.180014549993591,-2.360335842857717,-2.1134019281861187,0.3446201268824834,0.3406203334109495,0.13562699115844615,0.136755417069029,0.1191926521859276,0.1018763146420082
