event_id,season,week,elim_count,use_two_stage,ppc_p_mean,ppc_p_q025,ppc_p_q975,ppc_logp_mean,ppc_logp_q025,ppc_logp_q975
1-1,1,1,0,0,1.0,1.0,1.0,0.0,0.0,0.0
1-2,1,2,1,0,0.1800938198589016,0.05360505993942288,0.310906762192085,-1.7909570760417,-2.9261118230155065,-1.1682623348669274
1-3,1,3,1,0,0.476584215504973,0.18220411372173784,0.7207929126497911,-0.7898151215548997,-1.7026277533604732,-0.32740342333785133
1-4,1,4,1,0,0.1909349467490375,0.06084703290608648,0.3011166330581584,-1.7259503329401813,-2.7993922234834807,-1.200257604072857
1-5,1,5,1,0,0.5385150149736343,0.3240767446289861,0.7401379755827557,-0.6465324691074225,-1.1267749250998893,-0.30091866003418943
1-6,1,6,0,0,1.0,1.0,1.0,0.0,0.0,0.0
2-1,2,1,1,0,0.2990543362831941,0.0953074414059065,0.5411617576196053,-1.281490398099754,-2.350650022276455,-0.6140370843233973
2-2,2,2,1,0,0.29793479190536454,0.09240853769927514,0.5385998434171376,-1.2862414528096742,-2.38153598413953,-0.6187823908056231
2-3,2,3,1,0,0.14699680947936997,0.04085067549674521,0.2686274528001611,-2.001722762316495,-3.197832003559524,-1.3144297945170027
2-4,2,4,1,0,0.4406529120246486,0.13286057321997954,0.6944848673473134,-0.8849848961562821,-2.018455072266478,-0.36458496516975575
2-5,2,5,1,0,0.47848543942017213,0.17182525887663938,0.7296704774721904,-0.7870919199968321,-1.7612772571772877,-0.3151622474949024
2-6,2,6,1,0,0.39427331501080076,0.14220428477420888,0.6189648220894018,-0.9869128065545955,-1.9504906353313993,-0.47970691900819573
2-7,2,7,1,0,0.32792576116530847,0.1214165932749439,0.5072472637455415,-1.1721778974456956,-2.1085277467618,-0.6787567024108538
2-8,2,8,0,0,1.0,1.0,1.0,0.0,0.0,0.0
3-1,3,1,1,0,0.0931254154114908,0.07992300765359873,0.09827537768289221,-2.375321197393964,-2.5266915120480715,-2.3199817646632543
3-2,3,2,1,0,0.10066578492904894,0.08396694061888034,0.10637702985031913,-2.297851389242807,-2.4773322453177062,-2.240765610315913
3-3,3,3,1,0,0.1120187619722321,0.09278299729398412,0.11907881975735235,-2.191203314527255,-2.377492160348604,-2.1279696542342594
3-4,3,4,1,0,0.12607283943989872,0.10202634733774041,0.1349867402770137,-2.073257638892199,-2.2825242217057826,-2.0025787255399914
3-5,3,5,2,0,0.04831297560713695,0.03525179501868947,0.056204161723519344,-3.036434988554216,-3.3452388322061997,-2.878764472909879
3-6,3,6,0,0,1.0,1.0,1.0,0.0,0.0,0.0
