season,week,contestant_id,judge_total_score,fan_vote_estimate,is_judge_worst,pred_elim_rank,pred_elim_percent,pred_elim_rank_js,pred_elim_percent_js,eliminated_real
2,1,S2:Jerry Rice,21.0,0.1481683120866563,0,0,0,0,0,0
2,2,S2:Jerry Rice,23.0,0.1613293012576428,0,0,0,0,0,0
2,3,S2:Jerry Rice,19.0,0.1815228188227853,0,0,0,0,0,0
2,4,S2:Jerry Rice,24.0,0.1976621509789317,0,0,0,0,0,0
2,5,S2:Jerry Rice,23.0,0.2344868383206124,0,0,0,0,0,0
2,6,S2:Jerry Rice,23.0,0.2731583665404124,1,0,0,0,0,0
2,7,S2:Jerry Rice,20.5,0.3420295290562708,1,0,0,1,0,0
2,8,S2:Jerry Rice,26.666600000000003,0.3940147205530724,1,0,0,0,0,0
4,1,S4:Billy Ray Cyrus,13.0,0.0922436213314241,1,0,0,0,0,0
4,2,S4:Billy Ray Cyrus,21.0,0.0893652512659158,0,0,0,0,0,0
4,3,S4:Billy Ray Cyrus,21.0,0.0977577259911702,0,0,0,0,0,0
4,4,S4:Billy Ray Cyrus,21.0,0.1080606103949105,0,0,0,0,0,0
4,5,S4:Billy Ray Cyrus,17.0,0.1211876058390626,0,0,0,0,0,0
4,6,S4:Billy Ray Cyrus,21.0,0.1388551525984264,0,0,0,0,0,0
4,7,S4:Billy Ray Cyrus,19.0,0.1600973976968965,1,1,1,1,1,0
4,8,S4:Billy Ray Cyrus,19.0,0.1823573382154667,1,1,1,1,1,1
11,1,S11:Bristol Palin,18.0,0.0905196214370539,0,0,0,0,0,0
11,2,S11:Bristol Palin,22.0,0.0982598839402988,0,0,0,0,0,0
11,3,S11:Bristol Palin,19.0,0.1093782659229923,0,0,0,0,0,0
11,4,S11:Bristol Palin,16.0,0.1203754896009394,0,0,0,0,0,0
11,5,S11:Bristol Palin,18.0,0.1349308911376228,1,0,0,0,1,0
11,6,S11:Bristol Palin,27.9998,0.1538348889662593,0,0,0,0,0,0
11,7,S11:Bristol Palin,32.5,0.178775902474605,1,0,0,0,0,0
11,8,S11:Bristol Palin,23.5,0.207865838412836,1,0,0,1,1,0
11,9,S11:Bristol Palin,26.5,0.256883497869044,1,1,0,1,1,0
11,10,S11:Bristol Palin,25.6666,0.336771614923838,1,0,0,0,0,0
27,1,S27:Bobby Bones,20.0,0.0817792128596716,0,0,0,0,0,0
27,2,S27:Bobby Bones,19.5,0.087168260088336,0,0,0,0,0,0
27,3,S27:Bobby Bones,23.0,0.0994011022656767,0,0,0,0,0,0
27,4,S27:Bobby Bones,20.0,0.1039257849230896,0,0,0,0,0,0
27,5,S27:Bobby Bones,21.0,0.1153357757967356,0,0,0,0,0,0
27,6,S27:Bobby Bones,22.0,0.1199139385778097,0,0,0,0,0,0
27,7,S27:Bobby Bones,26.5,0.1307717226043051,0,0,0,0,0,0
27,8,S27:Bobby Bones,22.5,0.1748460056310223,1,1,1,1,1,0
27,9,S27:Bobby Bones,27.0,0.2566402644038879,1,0,0,0,0,0
